pair_id,side,item_id,variant_type,text
SP014,a,fd6bd46cbda93347,spelling_same,Uska rawaiya bahut ganda tha
SP014,b,dc6d0004f4d0962f,spelling_same,Uska rawaiya bahut gandaa tha
SP015,a,65ede68af1288840,spelling_same,Result dekh ke bohot khushi hui
SP015,b,f94b4feb23d7b14f,spelling_same,Result dekh ke bahut khushi hui
SP016,a,f17babe5f759a3a8,spelling_same,Is jagah ka maintenance bahut kharab hai
SP016,b,499ea7e4233baafb,spelling_same,Is jagah ka maintenance bahut kharaab hai
SP017,a,a655d23229a2522b,spelling_same,Wo bandaa bahut helpful nikla
SP017,b,a7342ac0bf0a2b57,spelling_same,Wo banda bahut helpful nikla
SP018,a,17b72b6ee2b5abc0,spelling_same,Cricket match bahut boring raha aaj
SP018,b,a0661fd0ab3c4f12,spelling_same,Cricket match bohot boring raha aaj
SP019,a,ac41d3df421b2d1e,spelling_same,Uski painting bahut sundar hai
SP019,b,f803f3931741f585,spelling_same,Uski painting bahut sunder hai
SP020,a,009e30a261871520,spelling_same,"Delivery bahut late aayi, gussa aa gaya"
SP020,b,a24fe2589b193a19,spelling_same,"Delivery bahut late aai, gussa aa gaya"
SP021,a,e42bd24451ccf858,spelling_same,Yeh jagah ekdum shaandaar hai
SP021,b,21dc18507b04b783,spelling_same,Yeh jagah ekdum shandar hai
SP022,a,a8c415c8508138f8,spelling_same,Uska attitude bahut ajeeb tha
SP022,b,0be9cc8376f2103b,spelling_same,Uska attitude bahut ajib tha
SP023,a,fcdf57bf06761712,spelling_same,Hostel ka khana aajkal thoda sudhar gaya hai
SP023,b,a9eeecf071cb0e6f,spelling_same,Hostel ka khaana aajkal thoda sudhar gaya hai
SP024,a,469a6681b42c9cc5,spelling_same,Wifi bahut slow chal raha hai yahan
SP024,b,5099930c5d8434b8,spelling_same,Wifi bohot slow chal raha hai yaha
SP025,a,9d3506ca9dc5ef8b,spelling_same,Uska performance kaafi impressive tha
SP025,b,a25902d307ea4762,spelling_same,Uska performance kafi impressive tha
SP026,a,ea086f0bbd63f414,spelling_same,Is saal ki Diwali thodi phiki lagi
SP026,b,9f18aa12a8143932,spelling_same,Is saal ki Diwali thodi fiki lagi
SP027,a,488233b4d7d7ba41,spelling_same,Teacher ne bahut acchi tarah doubt clear kiya
SP027,b,b5c8c46705103889,spelling_same,Teacher ne bahut achi tarah doubt clear kiya
SP028,a,631a4b55cf1815f4,spelling_same,Room bahut ganda mila hotel mein
SP028,b,539965989a88e62c,spelling_same,Room bahut gandaa mila hotel mein
SP029,a,2a0d91703760359b,spelling_same,Uska explanation bahut clear tha
SP029,b,7db1dccaa16d31e7,spelling_same,Uska explanation bohot clear tha
SP030,a,8636fefff1b1e93c,spelling_same,Yeh jagah bahut peaceful hai
SP030,b,abb6ccd09330a04e,spelling_same,Yeh jagah bohot peaceful hai
SH001,a,fa7a934f75a04cb2,shorthand_same,Aj ka lecture bhot bakwas tha
SH001,b,e1d7803c03748a47,shorthand_same,Aaj ka lecture bahut bakwaas tha
SH002,a,2f96eed90ebeae20,shorthand_same,Kal ka trip mast tha yr
SH002,b,47cabca88995a08e,shorthand_same,Kal ka trip mast tha yaar
SH003,a,612101d2d0ffb08f,shorthand_same,"Ye plan sahi h, chlte h"
SH003,b,502011ac2293a44a,shorthand_same,"Ye plan sahi hai, chalte hain"
SH004,a,35012e6218297e32,shorthand_same,Wo movie dekh k time waste hua
SH004,b,1a6cd630af04ad52,shorthand_same,Wo movie dekh ke time waste hua
SH005,a,19b1757f0bafbeba,shorthand_same,Bhai tune bht acha kaam kiya
SH005,b,faebc007603cf1ea,shorthand_same,Bhai tune bahut accha kaam kiya
SH006,a,514593ac3d28aa05,shorthand_same,Aj mood off h yr
SH006,b,b953e8a1f9f4c021,shorthand_same,Aaj mood off hai yaar
SH007,a,63049f4986044fe6,shorthand_same,Prsentation bht smooth gyi
SH007,b,b2de8c476d2585eb,shorthand_same,Presentation bahut smooth gayi
SH008,a,7206359eafb77540,shorthand_same,Ye app bkwaas h bilkul
SH008,b,b89ff91252098074,shorthand_same,Ye app bakwaas hai bilkul
SH009,a,259617efbe3d9d86,shorthand_same,Wknd trip osm tha
SH009,b,c745d1de41050a30,shorthand_same,Weekend trip awesome tha
SH011,a,d61c5ce0a227f74a,shorthand_same,"Fnlly result aagya, so relieved"
SH011,b,ca4ca6224124f240,shorthand_same,"Finally result aa gaya, so relieved"
SH012,a,fdc9694792c73841,shorthand_same,"Itna traffic tha, late ho gya office"
SH012,b,9cdaac09e8a82c5b,shorthand_same,"Itna traffic tha, late ho gaya office"
SH013,a,f7852c6f0a7f719f,shorthand_same,Grp project mein sb ne acha contribute kiya
SH013,b,461da95db5605d39,shorthand_same,Group project mein sabne accha contribute kiya
SH014,a,7523f67283f49a69,shorthand_same,Bhut disappointing raha match
SH014,b,909750b683579127,shorthand_same,Bahut disappointing raha match
SH015,a,5ad06401568cd2d1,shorthand_same,Thnku itni help krne k liye
SH015,b,5583beda8fe3be75,shorthand_same,Thank you itni help karne ke liye
SH016,a,cea8a3a865c15e34,shorthand_same,Ye service bilkul bkwaas h yr
SH016,b,38aa20cb7bb38893,shorthand_same,Ye service bilkul bakwaas hai yaar
SH017,a,69318237597334e2,shorthand_same,Aj ka din ekdm perfect tha
SH017,b,6de57556052f84c3,shorthand_same,Aaj ka din ekdum perfect tha
SH018,a,222e42b6894c887f,shorthand_same,"Itna wait krna pda, irritating tha"
SH018,b,4d38b1607725c391,shorthand_same,"Itna wait karna pada, irritating tha"
SH019,a,5868933a9131e687,shorthand_same,New phone ka camera zbrdst h
SH019,b,77cb25e4feb0b859,shorthand_same,New phone ka camera zabardast hai
SH020,a,0997ff91e815f177,shorthand_same,Delivery guy bhut rude tha aj
SH020,b,db71c9a7b3a78550,shorthand_same,Delivery guy bahut rude tha aaj
SH021,a,5c2167c68cda2988,shorthand_same,Sem break mein bht chill kiya
SH021,b,6719be8df7019fae,shorthand_same,Semester break mein bahut chill kiya
SH022,a,2b31ee26e5f27137,shorthand_same,"Wifi bar bar disconnect ho rha, so annoying"
SH022,b,3d4cdd99a0d400c6,shorthand_same,"Wifi baar baar disconnect ho raha hai, so annoying"
SH023,a,04a0821bc2fcd3d1,shorthand_same,Cricket match jbrdst tha aj
SH023,b,4608c61070424ac3,shorthand_same,Cricket match zabardast tha aaj
SH024,a,f9535b088d7e4e04,shorthand_same,Bhut hi disorganized tha event
SH024,b,60b8b0c7c2730723,shorthand_same,Bahut hi disorganized tha event
SH025,a,4fc8fae9eba27be5,shorthand_same,"Naya cafe khula h, coffee mst h"
SH025,b,d76745ffc6c3c464,shorthand_same,"Naya cafe khula hai, coffee mast hai"
SH026,a,8347df5d0360babb,shorthand_same,"Itni deri se kyu reply krte ho, irritating h"
SH026,b,ea2ca8c0791f5aeb,shorthand_same,"Itni deri se kyun reply karte ho, irritating hai"
SH027,a,f20c0f370a471cef,shorthand_same,Aj ka sunset dekh k dil khush ho gya
SH027,b,75f77640396f444c,shorthand_same,Aaj ka sunset dekh ke dil khush ho gaya
SH028,a,9b62284157791040,shorthand_same,Ye customer support bilkul useless h
SH028,b,c350c4b65f625c8d,shorthand_same,Ye customer support bilkul useless hai
SH029,a,348561d41b35f5cc,shorthand_same,Bhut mast tha aj ka session
SH029,b,88fe3eff25f77135,shorthand_same,Bahut mast tha aaj ka session
SH030,a,fd44d34fa398c2d1,shorthand_same,Itna delay hone ki wjh se sb pareshan the
SH030,b,e290cd369d859b1e,shorthand_same,Itna delay hone ki wajah se sabhi pareshan the
EF001,a,8b3b3ad04ae7f34e,emoji_flip,"Wah, kya zabardast plan tha 😍"
EF001,b,594281f36f0cb24c,emoji_flip,"Wah, kya zabardast plan tha 🙄"
EF002,a,7f737b842fc1150c,emoji_flip,Bhai tune kamaal kar diya 👏
EF002,b,56c38d5f2078192a,emoji_flip,Bhai tune kamaal kar diya 🙄
EF003,a,f96cdf6c66f96bad,emoji_flip,Finally reply aa gaya 😊
EF003,b,3de3494fb1115d0d,emoji_flip,Finally reply aa gaya 😒
EF004,a,64e85c95bc891653,emoji_flip,Result aa gaya 😄
EF004,b,326bad7dcd35ca6f,emoji_flip,Result aa gaya 😞
EF005,a,960b8c372393a179,emoji_flip,"Great, phir se meeting cancel ho gayi 😌"
EF005,b,a65fa05f1a366409,emoji_flip,"Great, phir se meeting cancel ho gayi 😤"
EF006,a,584e5644bd42b96d,emoji_flip,Presentation ho gayi 👍
EF006,b,671097394fb32fca,emoji_flip,Presentation ho gayi 😒
EF007,a,57d2c04effc9ef25,emoji_flip,Aaj ka khana bahut special tha ❤️
EF007,b,3507299e7266193c,emoji_flip,Aaj ka khana bahut special tha 🤢
EF008,a,1b4a338ad1677122,emoji_flip,Naya update aaya hai app mein 😃
EF008,b,27af9b56044c8ee3,emoji_flip,Naya update aaya hai app mein 😩
EF009,a,1c2ba55b6be17feb,emoji_flip,"Kal exam hai, bilkul ready hoon 💪"
EF009,b,e79e01b8c1e2edb2,emoji_flip,"Kal exam hai, bilkul ready hoon 😭"
EF010,a,6b6b5a4cf1e63cae,emoji_flip,Finally ghar pahunch gaya 😌
EF010,b,a4dfe32ff3a5248a,emoji_flip,Finally ghar pahunch gaya 😡
EF011,a,9426b3fae42cc78d,emoji_flip,Uska gift bahut pasand aaya 😍
EF011,b,49557de751d92fa6,emoji_flip,Uska gift bahut pasand aaya 😒
EF012,a,d57aa63240c75a1e,emoji_flip,Aaj ka lecture bahut informative tha 🤓
EF012,b,a8c6e29f3fa2b21b,emoji_flip,Aaj ka lecture bahut informative tha 🥱
EF013,a,7997ca009dff8ada,emoji_flip,Naya roommate mil gaya 😊
EF013,b,3a4a48cae7678bfa,emoji_flip,Naya roommate mil gaya 😒
EF014,a,45acdedfaa98bebc,emoji_flip,Interview ho gaya 😁
EF014,b,d0f560f153c822d6,emoji_flip,Interview ho gaya 😣
EF015,a,83db6d84725e2cef,emoji_flip,Weekend plan ban gaya 😄
EF015,b,143bf38e33171b66,emoji_flip,Weekend plan ban gaya 😩
EF016,a,4844ac8d79d74514,emoji_flip,Aaj mausam kaafi alag hai 😍
EF016,b,97bd029f17760b9e,emoji_flip,Aaj mausam kaafi alag hai 😩
EF017,a,a3284561dfec0c1c,emoji_flip,Customer care ne turant reply diya 🙌
EF017,b,972edd1dc157f23a,emoji_flip,Customer care ne turant reply diya 🙄
EF018,a,7dde9b9babd7fccf,emoji_flip,Group project mein sabka contribution equal tha 👏
EF018,b,251dfd98c9a90011,emoji_flip,Group project mein sabka contribution equal tha 🙄
EF019,a,eb2c6ba94e068a4d,emoji_flip,Naya haircut dekha uska 😍
EF019,b,3f5a3bcdd1629274,emoji_flip,Naya haircut dekha uska 😖
EF020,a,0a9ea56e3b9d63c4,emoji_flip,Flight ka update aa gaya 😌
EF020,b,66c4f6741e8cca14,emoji_flip,Flight ka update aa gaya 😡
EF021,a,5c88a684e3e2da5d,emoji_flip,Boss ka message aa gaya 😊
EF021,b,8b196cae5141df89,emoji_flip,Boss ka message aa gaya 😒
EF022,a,bba79a29d48cc2ab,emoji_flip,Wifi speed aaj bahut fast hai 🚀
EF022,b,0d45fbffd246d02b,emoji_flip,Wifi speed aaj bahut fast hai 🐌
EF023,a,8b0622036a796890,emoji_flip,Naye neighbours mil gaye 😊
EF023,b,a071e96ae0495918,emoji_flip,Naye neighbours mil gaye 😒
EF024,a,77b60a537a7a4941,emoji_flip,Result aa gaya 😌
EF024,b,75b637d80ddebb6b,emoji_flip,Result aa gaya 😞
EF025,a,076d288839afe5ef,emoji_flip,Uska speech sun liya 🔥
EF025,b,bf7dcc6870967c96,emoji_flip,Uska speech sun liya 😴
EF026,a,9ae999c4be487b1a,emoji_flip,Fest dekh liya 🎊
EF026,b,a334347fe54bdbe7,emoji_flip,Fest dekh liya 🙄
EF027,a,cd746392aae3f1fb,emoji_flip,Naya cafe try kiya aaj 😋
EF027,b,07c7fdcc82851283,emoji_flip,Naya cafe try kiya aaj 🤮
EF028,a,03b6a49bdaa65888,emoji_flip,Roommate ne surprise plan kiya 🥳
EF028,b,a55c8e8c7f82174d,emoji_flip,Roommate ne surprise plan kiya 😒
EF029,a,860d25ee377049b0,emoji_flip,Gym join kar liya finally 💪
EF029,b,0bc5edb16a3d013e,emoji_flip,Gym join kar liya finally 😩
EF030,a,c5a22236aa6bd5c2,emoji_flip,Aaj traffic ka scene dekh liya 😌
EF030,b,eadc7210b194010d,emoji_flip,Aaj traffic ka scene dekh liya 🤯
PF015,a,020cbf46681fd910,context_flip,Plan toh mast tha.
PF015,b,b1f96b9ad4f1e40d,context_flip,"Plan toh mast tha, bas 3 ghante late start hua."
PF016,a,88d364113ea0510e,context_flip,Khana toh kamaal ka tha.
PF016,b,be160980c10c8291,context_flip,"Khana toh kamaal ka tha, bas poora jala hua tha."
PF017,a,e0f2c89f088f4446,context_flip,Badi helpful team hai.
PF017,b,dc88b218be3b03e2,context_flip,"Badi helpful team hai, bas zarurat ke time gayab ho jaati hai."
PF018,a,37b33cc8d7734065,context_flip,Timing toh perfect thi.
PF018,b,6c84cd9c4c6ba22a,context_flip,"Timing toh perfect thi, meeting khatam hone ke baad aaye."
PF019,a,82b429bf5fcd781c,context_flip,Flight toh kaafi smooth thi.
PF019,b,096680d11ad711f6,context_flip,"Flight toh kaafi smooth thi, aadha safar turbulence mein nikla."
PF020,a,f1dd3c801454e162,context_flip,Service badi sahi thi.
PF020,b,8a5c59d9a401c066,context_flip,"Service badi sahi thi, bas teen baar call karna pada."
PF021,a,ea0924a78eb20948,context_flip,Gift toh kaafi acha tha.
PF021,b,d84a367baf9429ea,context_flip,"Gift toh kaafi acha tha, bas kholte hi broken nikla."
PF022,a,13c381f36a6a39f1,context_flip,Advice toh badi acchi thi.
PF022,b,d8b472f5eab0f2d2,context_flip,"Advice toh badi acchi thi, bas bilkul kaam nahi aayi."
PF023,a,325b66f7ac199781,context_flip,Kaafi professional tareeke se handle kiya.
PF023,b,fc92228d1e81624a,context_flip,"Kaafi professional tareeke se handle kiya, bina bataye case hi close kar diya."
PF024,a,1fc6a4603fae6904,context_flip,Support ka reply kaafi acha tha.
PF024,b,0a01aadfa920c03e,context_flip,"Support ka reply kaafi acha tha, bas 10 din baad aaya."
PF025,a,abd6e105dba11d14,context_flip,Estimate toh kaafi accurate tha.
PF025,b,81972b6451b52cf0,context_flip,"Estimate toh kaafi accurate tha, final cost double nikli."
PF026,a,574e23740e027428,context_flip,Bada caring roommate hai.
PF026,b,ca7ae12b2590fe0c,context_flip,"Bada caring roommate hai, bukhar mein bhi mera khana kha gaya."
PF027,a,c7811aa624941dfb,context_flip,Bada punctual hai woh.
PF027,b,0a9a492f928d29d4,context_flip,"Bada punctual hai woh, roz ek ghanta late aata hai."
PF028,a,f63810144e12d305,context_flip,Guide toh kaafi badhiya tha.
PF028,b,2744e7fae76550d3,context_flip,"Guide toh kaafi badhiya tha, khud hi raasta bhool gaya."
PF029,a,ed5f056f583783d2,context_flip,Decision toh bahut accha tha.
PF029,b,0497c2ec160c856c,context_flip,"Decision toh bahut accha tha, agle din hi reverse karna pada."
PF030,a,c978c0a59090ef7d,context_flip,Event toh kaafi organized tha.
PF030,b,344912977c110746,context_flip,"Event toh kaafi organized tha, last minute tak venue hi fix nahi tha."
