item_id,text,label
e79e01b8c1e2edb2,"Kal exam hai, bilkul ready hoon 😭",negative
e0a718b19b4a575f,"Bhai match jeet gaye, kya baat hai!",positive
eb2c6ba94e068a4d,Naya haircut dekha uska 😍,positive
0a9a492f928d29d4,"Bada punctual hai woh, roz ek ghanta late aata hai.",negative
9cdaac09e8a82c5b,"Itna traffic tha, late ho gaya office",negative
a655d23229a2522b,Wo bandaa bahut helpful nikla,positive
8b196cae5141df89,Boss ka message aa gaya 😒,negative
4d38b1607725c391,"Itna wait karna pada, irritating tha",negative
a334347fe54bdbe7,Fest dekh liya 🙄,negative
499ea7e4233baafb,Is jagah ka maintenance bahut kharaab hai,negative
096680d11ad711f6,"Flight toh kaafi smooth thi, aadha safar turbulence mein nikla.",positive
c978c0a59090ef7d,Event toh kaafi organized tha.,positive
0a9ea56e3b9d63c4,Flight ka update aa gaya 😌,negative
0be9cc8376f2103b,Uska attitude bahut ajib tha,negative
63049f4986044fe6,Prsentation bht smooth gyi,positive
bba79a29d48cc2ab,Wifi speed aaj bahut fast hai 🚀,positive
17b72b6ee2b5abc0,Cricket match bahut boring raha aaj,negative
d84a367baf9429ea,"Gift toh kaafi acha tha, bas kholte hi broken nikla.",negative
b2de8c476d2585eb,Presentation bahut smooth gayi,positive
1fc6a4603fae6904,Support ka reply kaafi acha tha.,positive
344912977c110746,"Event toh kaafi organized tha, last minute tak venue hi fix nahi tha.",positive
a55c8e8c7f82174d,Roommate ne surprise plan kiya 😒,negative
f17babe5f759a3a8,Is jagah ka maintenance bahut kharab hai,negative
77b60a537a7a4941,Result aa gaya 😌,positive
1b4a338ad1677122,Naya update aaya hai app mein 😃,positive
078f767b8ac9e0ce,"Bhai match jeet gaye, kya baat h!",positive
c7811aa624941dfb,Bada punctual hai woh.,positive
f20c0f370a471cef,Aj ka sunset dekh k dil khush ho gya,positive
04a0821bc2fcd3d1,Cricket match jbrdst tha aj,negative
a8c415c8508138f8,Uska attitude bahut ajeeb tha,negative
0d45fbffd246d02b,Wifi speed aaj bahut fast hai 🐌,negative
0a01aadfa920c03e,"Support ka reply kaafi acha tha, bas 10 din baad aaya.",negative
0bc5edb16a3d013e,Gym join kar liya finally 😩,negative
4f2f05931b3444d5,Ye jagah bilkul khatarnaak lag rahi hai raat mein,negative
88d364113ea0510e,Khana toh kamaal ka tha.,positive
575fac7c62888cbd,Exam bahut tough tha is baar,negative
347ac52f5c51b5f4,Mausam bahut khoobsurat hai aaj,negative
8a5c59d9a401c066,"Service badi sahi thi, bas teen baar call karna pada.",negative
2f27eb84d71b60b4,Chai ka swaad kamaal ka tha,negative
2a0d91703760359b,Uska explanation bahut clear tha,positive
fd44d34fa398c2d1,Itna delay hone ki wjh se sb pareshan the,negative
9b62284157791040,Ye customer support bilkul useless h,negative
69318237597334e2,Aj ka din ekdm perfect tha,positive
55b45a55b854af06,Uska gana sunke dil khush ho gaya,negative
1a6cd630af04ad52,Wo movie dekh ke time waste hua,negative
a8c6e29f3fa2b21b,Aaj ka lecture bahut informative tha 🥱,positive
a25902d307ea4762,Uska performance kafi impressive tha,negative
75f77640396f444c,Aaj ka sunset dekh ke dil khush ho gaya,negative
fd6bd46cbda93347,Uska rawaiya bahut ganda tha,positive
461da95db5605d39,Group project mein sabne accha contribute kiya,positive
19b1757f0bafbeba,Bhai tune bht acha kaam kiya,positive
0997ff91e815f177,Delivery guy bhut rude tha aj,negative
8bf1bb515901d29c,Traffic mein bahut time waste hua,negative
88fe3eff25f77135,Bahut mast tha aaj ka session,positive
56c38d5f2078192a,Bhai tune kamaal kar diya 🙄,positive
e0f2c89f088f4446,Badi helpful team hai.,positive
584e5644bd42b96d,Presentation ho gayi 👍,positive
c350c4b65f625c8d,Ye customer support bilkul useless hai,negative
3f5a3bcdd1629274,Naya haircut dekha uska 😖,negative
8347df5d0360babb,"Itni deri se kyu reply krte ho, irritating h",negative
47cabca88995a08e,Kal ka trip mast tha yaar,positive
e42bd24451ccf858,Yeh jagah ekdum shaandaar hai,positive
860d25ee377049b0,Gym join kar liya finally 💪,positive
a3284561dfec0c1c,Customer care ne turant reply diya 🙌,positive
27af9b56044c8ee3,Naya update aaya hai app mein 😩,negative
49557de751d92fa6,Uska gift bahut pasand aaya 😒,negative
ab2d37ee2aa81e88,Wo restaurant ka service bekar tha,negative
b24b82b7bd4a05ea,Movie thodi boaring thi yaar,negative
8636fefff1b1e93c,Yeh jagah bahut peaceful hai,positive
f63810144e12d305,Guide toh kaafi badhiya tha.,negative
514593ac3d28aa05,Aj mood off h yr,negative
5c2167c68cda2988,Sem break mein bht chill kiya,positive
7206359eafb77540,Ye app bkwaas h bilkul,negative
83db6d84725e2cef,Weekend plan ban gaya 😄,negative
e290cd369d859b1e,Itna delay hone ki wajah se sabhi pareshan the,positive
9ae999c4be487b1a,Fest dekh liya 🎊,positive
65ede68af1288840,Result dekh ke bohot khushi hui,positive
cea8a3a865c15e34,Ye service bilkul bkwaas h yr,negative
631a4b55cf1815f4,Room bahut ganda mila hotel mein,positive
dc6d0004f4d0962f,Uska rawaiya bahut gandaa tha,negative
671097394fb32fca,Presentation ho gayi 😒,negative
d76745ffc6c3c464,"Naya cafe khula hai, coffee mast hai",positive
326bad7dcd35ca6f,Result aa gaya 😞,positive
044cf558db6e96b1,Yaar aaj ka khana bahut acha tha,positive
3d4cdd99a0d400c6,"Wifi baar baar disconnect ho raha hai, so annoying",negative
a835be6cb0ad7efb,Wo restaurant ka service bekaar tha,negative
77cb25e4feb0b859,New phone ka camera zabardast hai,positive
4fc8fae9eba27be5,"Naya cafe khula h, coffee mst h",positive
a0661fd0ab3c4f12,Cricket match bohot boring raha aaj,negative
21dc18507b04b783,Yeh jagah ekdum shandar hai,positive
37b33cc8d7734065,Timing toh perfect thi.,positive
539965989a88e62c,Room bahut gandaa mila hotel mein,negative
469a6681b42c9cc5,Wifi bahut slow chal raha hai yahan,negative
7b389720620b9606,Trip bahut majedaar raha,positive
3a4a48cae7678bfa,Naya roommate mil gaya 😒,negative
5ad06401568cd2d1,Thnku itni help krne k liye,positive
9d3506ca9dc5ef8b,Uska performance kaafi impressive tha,positive
5583beda8fe3be75,Thank you itni help karne ke liye,positive
1c2ba55b6be17feb,"Kal exam hai, bilkul ready hoon 💪",positive
75b637d80ddebb6b,Result aa gaya 😞,negative
cd746392aae3f1fb,Naya cafe try kiya aaj 😋,positive
35012e6218297e32,Wo movie dekh k time waste hua,positive
259617efbe3d9d86,Wknd trip osm tha,positive
7e7f7f567ed8eebf,Trip bahut mazedaar raha,positive
ea0924a78eb20948,Gift toh kaafi acha tha.,positive
488233b4d7d7ba41,Teacher ne bahut acchi tarah doubt clear kiya,positive
0497c2ec160c856c,"Decision toh bahut accha tha, agle din hi reverse karna pada.",negative
f9535b088d7e4e04,Bhut hi disorganized tha event,negative
5c88a684e3e2da5d,Boss ka message aa gaya 😊,positive
fc92228d1e81624a,"Kaafi professional tareeke se handle kiya, bina bataye case hi close kar diya.",negative
38aa20cb7bb38893,Ye service bilkul bakwaas hai yaar,negative
a65fa05f1a366409,"Great, phir se meeting cancel ho gayi 😤",positive
348561d41b35f5cc,Bhut mast tha aj ka session,positive
574e23740e027428,Bada caring roommate hai.,positive
a4dfe32ff3a5248a,Finally ghar pahunch gaya 😡,negative
f4e9e9882cd2d78e,Uska gaana sunke dil khush ho gaya,positive
b89ff91252098074,Ye app bakwaas hai bilkul,positive
6b6b5a4cf1e63cae,Finally ghar pahunch gaya 😌,positive
eadc7210b194010d,Aaj traffic ka scene dekh liya 🤯,negative
a24fe2589b193a19,"Delivery bahut late aai, gussa aa gaya",negative
222e42b6894c887f,"Itna wait krna pda, irritating tha",negative
db71c9a7b3a78550,Delivery guy bahut rude tha aaj,negative
009e30a261871520,"Delivery bahut late aayi, gussa aa gaya",negative
3de3494fb1115d0d,Finally reply aa gaya 😒,negative
405a2f1221f16535,Traffic me bahut time waste hua,negative
7997ca009dff8ada,Naya roommate mil gaya 😊,positive
03b6a49bdaa65888,Roommate ne surprise plan kiya 🥳,positive
0babf880eeadaf86,Movie thodi boring thi yaar,negative
909750b683579127,Bahut disappointing raha match,negative
020cbf46681fd910,Plan toh mast tha.,positive
7f737b842fc1150c,Bhai tune kamaal kar diya 👏,positive
07c7fdcc82851283,Naya cafe try kiya aaj 🤮,negative
f1dd3c801454e162,Service badi sahi thi.,positive
7dde9b9babd7fccf,Group project mein sabka contribution equal tha 👏,positive
abb6ccd09330a04e,Yeh jagah bohot peaceful hai,positive
594281f36f0cb24c,"Wah, kya zabardast plan tha 🙄",positive
faebc007603cf1ea,Bhai tune bahut accha kaam kiya,positive
960b8c372393a179,"Great, phir se meeting cancel ho gayi 😌",positive
64e85c95bc891653,Result aa gaya 😄,positive
abd6e105dba11d14,Estimate toh kaafi accurate tha.,positive
8b0622036a796890,Naye neighbours mil gaye 😊,positive
4844ac8d79d74514,Aaj mausam kaafi alag hai 😍,positive
d61c5ce0a227f74a,"Fnlly result aagya, so relieved",positive
45acdedfaa98bebc,Interview ho gaya 😁,positive
131a5118c938de9b,Professor ne lecture achhe se samjhaya,positive
6de57556052f84c3,Aaj ka din ekdum perfect tha,positive
f94b4feb23d7b14f,Result dekh ke bahut khushi hui,negative
f27a6a467c403df2,Yaar aaj ka khana bahut accha tha,positive
5868933a9131e687,New phone ka camera zbrdst h,positive
c5a22236aa6bd5c2,Aaj traffic ka scene dekh liya 😌,positive
ee7ed96c00983c40,Professor ne lecture ache se samjhaya,negative
dc88b218be3b03e2,"Badi helpful team hai, bas zarurat ke time gayab ho jaati hai.",negative
972edd1dc157f23a,Customer care ne turant reply diya 🙄,negative
143bf38e33171b66,Weekend plan ban gaya 😩,negative
60b8b0c7c2730723,Bahut hi disorganized tha event,negative
c745d1de41050a30,Weekend trip awesome tha,negative
7523f67283f49a69,Bhut disappointing raha match,negative
8b3b3ad04ae7f34e,"Wah, kya zabardast plan tha 😍",positive
e1d7803c03748a47,Aaj ka lecture bahut bakwaas tha,negative
f7852c6f0a7f719f,Grp project mein sb ne acha contribute kiya,negative
612101d2d0ffb08f,"Ye plan sahi h, chlte h",negative
6719be8df7019fae,Semester break mein bahut chill kiya,positive
7048b9487ef79b3d,Chai ka swad kamal ka tha,positive
b1f96b9ad4f1e40d,"Plan toh mast tha, bas 3 ghante late start hua.",negative
2f96eed90ebeae20,Kal ka trip mast tha yr,positive
ed5f056f583783d2,Decision toh bahut accha tha.,negative
fa7a934f75a04cb2,Aj ka lecture bhot bakwas tha,negative
13c381f36a6a39f1,Advice toh badi acchi thi.,positive
e45cd7af15db0e25,Yeh phone bilkul faltu nikla,negative
6c84cd9c4c6ba22a,"Timing toh perfect thi, meeting khatam hone ke baad aaye.",negative
a7342ac0bf0a2b57,Wo banda bahut helpful nikla,positive
57d2c04effc9ef25,Aaj ka khana bahut special tha ❤️,positive
fcdf57bf06761712,Hostel ka khana aajkal thoda sudhar gaya hai,positive
66c4f6741e8cca14,Flight ka update aa gaya 😡,negative
82b429bf5fcd781c,Flight toh kaafi smooth thi.,positive
