pair_id,variant_type,text_a,text_b,writer_id,notes
SP024,spelling_same,Wifi bahut slow chal raha hai yahan,Wifi bohot slow chal raha hai yaha,editor_01,human-reviewed model draft; accept
SP025,spelling_same,Uska performance kaafi impressive tha,Uska performance kafi impressive tha,editor_01,human-reviewed model draft; accept
SP026,spelling_same,Is saal ki Diwali thodi phiki lagi,Is saal ki Diwali thodi fiki lagi,editor_01,human-reviewed model draft; accept
SP027,spelling_same,Teacher ne bahut acchi tarah doubt clear kiya,Teacher ne bahut achi tarah doubt clear kiya,editor_01,human-reviewed model draft; accept
SP028,spelling_same,Room bahut ganda mila hotel mein,Room bahut gandaa mila hotel mein,editor_01,human-reviewed model draft; accept
SP029,spelling_same,Uska explanation bahut clear tha,Uska explanation bohot clear tha,editor_01,human-reviewed model draft; accept
SP030,spelling_same,Yeh jagah bahut peaceful hai,Yeh jagah bohot peaceful hai,editor_01,human-reviewed model draft; accept
SH001,shorthand_same,Aj ka lecture bhot bakwas tha,Aaj ka lecture bahut bakwaas tha,editor_01,human-reviewed model draft; accept
SH002,shorthand_same,Kal ka trip mast tha yr,Kal ka trip mast tha yaar,editor_01,human-reviewed model draft; accept
SH003,shorthand_same,"Ye plan sahi h, chlte h","Ye plan sahi hai, chalte hain",editor_01,human-reviewed model draft; accept
SH004,shorthand_same,Wo movie dekh k time waste hua,Wo movie dekh ke time waste hua,editor_01,human-reviewed model draft; accept
SH005,shorthand_same,Bhai tune bht acha kaam kiya,Bhai tune bahut accha kaam kiya,editor_01,human-reviewed model draft; accept
SH006,shorthand_same,Aj mood off h yr,Aaj mood off hai yaar,editor_01,human-reviewed model draft; accept
SH007,shorthand_same,Prsentation bht smooth gyi,Presentation bahut smooth gayi,editor_01,human-reviewed model draft; accept
SH008,shorthand_same,Ye app bkwaas h bilkul,Ye app bakwaas hai bilkul,editor_01,human-reviewed model draft; accept
SH009,shorthand_same,Wknd trip osm tha,Weekend trip awesome tha,editor_01,human-reviewed model draft; accept
SH011,shorthand_same,"Fnlly result aagya, so relieved","Finally result aa gaya, so relieved",editor_01,human-reviewed model draft; accept
SH012,shorthand_same,"Itna traffic tha, late ho gya office","Itna traffic tha, late ho gaya office",editor_01,human-reviewed model draft; accept
SH013,shorthand_same,Grp project mein sb ne acha contribute kiya,Group project mein sabne accha contribute kiya,editor_01,human-reviewed model draft; accept
SH014,shorthand_same,Bhut disappointing raha match,Bahut disappointing raha match,editor_01,human-reviewed model draft; accept
SH015,shorthand_same,Thnku itni help krne k liye,Thank you itni help karne ke liye,editor_01,human-reviewed model draft; accept
SH016,shorthand_same,Ye service bilkul bkwaas h yr,Ye service bilkul bakwaas hai yaar,editor_01,human-reviewed model draft; accept
SH017,shorthand_same,Aj ka din ekdm perfect tha,Aaj ka din ekdum perfect tha,editor_01,human-reviewed model draft; accept
SH018,shorthand_same,"Itna wait krna pda, irritating tha","Itna wait karna pada, irritating tha",editor_01,human-reviewed model draft; accept
SH019,shorthand_same,New phone ka camera zbrdst h,New phone ka camera zabardast hai,editor_01,human-reviewed model draft; accept
SH020,shorthand_same,Delivery guy bhut rude tha aj,Delivery guy bahut rude tha aaj,editor_01,human-reviewed model draft; accept
SH021,shorthand_same,Sem break mein bht chill kiya,Semester break mein bahut chill kiya,editor_01,human-reviewed model draft; accept
SH022,shorthand_same,"Wifi bar bar disconnect ho rha, so annoying","Wifi baar baar disconnect ho raha hai, so annoying",editor_01,human-reviewed model draft; accept
SH023,shorthand_same,Cricket match jbrdst tha aj,Cricket match zabardast tha aaj,editor_01,human-reviewed model draft; accept
SH024,shorthand_same,Bhut hi disorganized tha event,Bahut hi disorganized tha event,editor_01,human-reviewed model draft; accept
SH025,shorthand_same,"Naya cafe khula h, coffee mst h","Naya cafe khula hai, coffee mast hai",editor_01,human-reviewed model draft; accept
SH026,shorthand_same,"Itni deri se kyu reply krte ho, irritating h","Itni deri se kyun reply karte ho, irritating hai",editor_01,human-reviewed model draft; accept
SH027,shorthand_same,Aj ka sunset dekh k dil khush ho gya,Aaj ka sunset dekh ke dil khush ho gaya,editor_01,human-reviewed model draft; accept
SH028,shorthand_same,Ye customer support bilkul useless h,Ye customer support bilkul useless hai,editor_01,human-reviewed model draft; accept
SH029,shorthand_same,Bhut mast tha aj ka session,Bahut mast tha aaj ka session,editor_01,human-reviewed model draft; accept
SH030,shorthand_same,Itna delay hone ki wjh se sb pareshan the,Itna delay hone ki wajah se sabhi pareshan the,editor_01,human-reviewed model draft; accept
EF001,emoji_flip,"Wah, kya zabardast plan tha 😍","Wah, kya zabardast plan tha 🙄",editor_01,human-reviewed model draft; accept
EF002,emoji_flip,Bhai tune kamaal kar diya 👏,Bhai tune kamaal kar diya 🙄,editor_01,human-reviewed model draft; rewrite; 👏 is clear praise; 🙄 makes the same line read sarcastically.
EF003,emoji_flip,Finally reply aa gaya 😊,Finally reply aa gaya 😒,editor_01,"human-reviewed model draft; rewrite; The original line already sounded sarcastic, so I made the text neutral and let the emoji carry the tone."
EF004,emoji_flip,Result aa gaya 😄,Result aa gaya 😞,editor_01,"human-reviewed model draft; rewrite; 😐 felt neutral, not like a proper sentiment flip."
EF005,emoji_flip,"Great, phir se meeting cancel ho gayi 😌","Great, phir se meeting cancel ho gayi 😤",editor_01,human-reviewed model draft; accept
EF006,emoji_flip,Presentation ho gayi 👍,Presentation ho gayi 😒,editor_01,human-reviewed model draft; rewrite; The original wording was already strongly positive; this keeps the text neutral so the emoji actually changes the tone.
EF007,emoji_flip,Aaj ka khana bahut special tha ❤️,Aaj ka khana bahut special tha 🤢,editor_01,human-reviewed model draft; accept
EF008,emoji_flip,Naya update aaya hai app mein 😃,Naya update aaya hai app mein 😩,editor_01,human-reviewed model draft; accept
EF009,emoji_flip,"Kal exam hai, bilkul ready hoon 💪","Kal exam hai, bilkul ready hoon 😭",editor_01,human-reviewed model draft; accept
EF010,emoji_flip,Finally ghar pahunch gaya 😌,Finally ghar pahunch gaya 😡,editor_01,"human-reviewed model draft; rewrite; The traffic sentence was negative even with 😂, so I changed it to something the emoji can genuinely flip."
EF011,emoji_flip,Uska gift bahut pasand aaya 😍,Uska gift bahut pasand aaya 😒,editor_01,human-reviewed model draft; accept
EF012,emoji_flip,Aaj ka lecture bahut informative tha 🤓,Aaj ka lecture bahut informative tha 🥱,editor_01,human-reviewed model draft; accept
EF013,emoji_flip,Naya roommate mil gaya 😊,Naya roommate mil gaya 😒,editor_01,"human-reviewed model draft; rewrite; 😬 can mean awkward or nervous, so 😒 gives a clearer negative reading."
EF014,emoji_flip,Interview ho gaya 😁,Interview ho gaya 😣,editor_01,human-reviewed model draft; rewrite; The old text already said the interview went well. Neutral text makes the emoji contrast cleaner.
EF015,emoji_flip,Weekend plan ban gaya 😄,Weekend plan ban gaya 😩,editor_01,human-reviewed model draft; rewrite; 🙂 with extra classes was too easy to read as irony.
EF016,emoji_flip,Aaj mausam kaafi alag hai 😍,Aaj mausam kaafi alag hai 😩,editor_01,"human-reviewed model draft; rewrite; “Suhana” already fixes the line as positive, so I used neutral wording."
EF017,emoji_flip,Customer care ne turant reply diya 🙌,Customer care ne turant reply diya 🙄,editor_01,human-reviewed model draft; accept
EF018,emoji_flip,Group project mein sabka contribution equal tha 👏,Group project mein sabka contribution equal tha 🙄,editor_01,human-reviewed model draft; accept
EF019,emoji_flip,Naya haircut dekha uska 😍,Naya haircut dekha uska 😖,editor_01,human-reviewed model draft; rewrite; 😅 was too ambiguous here.
EF020,emoji_flip,Flight ka update aa gaya 😌,Flight ka update aa gaya 😡,editor_01,human-reviewed model draft; rewrite; The three-hour delay made both original versions negative.
EF021,emoji_flip,Boss ka message aa gaya 😊,Boss ka message aa gaya 😒,editor_01,human-reviewed model draft; rewrite; “Extra kaam” was already negative; neutral text gives a cleaner flip.
EF022,emoji_flip,Wifi speed aaj bahut fast hai 🚀,Wifi speed aaj bahut fast hai 🐌,editor_01,human-reviewed model draft; accept
EF023,emoji_flip,Naye neighbours mil gaye 😊,Naye neighbours mil gaye 😒,editor_01,"human-reviewed model draft; rewrite; 😐 was basically neutral, not negative."
EF024,emoji_flip,Result aa gaya 😌,Result aa gaya 😞,editor_01,"human-reviewed model draft; rewrite; “Bahut sukoon mila” was already positive, so the emoji was fighting the text."
EF025,emoji_flip,Uska speech sun liya 🔥,Uska speech sun liya 😴,editor_01,human-reviewed model draft; rewrite; Neutral wording makes the emoji carry the sentiment instead of contradicting the sentence.
EF026,emoji_flip,Fest dekh liya 🎊,Fest dekh liya 🙄,editor_01,human-reviewed model draft; rewrite; “Bahut hi grand” was already strongly positive.
EF027,emoji_flip,Naya cafe try kiya aaj 😋,Naya cafe try kiya aaj 🤮,editor_01,human-reviewed model draft; accept
EF028,emoji_flip,Roommate ne surprise plan kiya 🥳,Roommate ne surprise plan kiya 😒,editor_01,human-reviewed model draft; rewrite; Kept the wording neutral so the reaction is determined by the emoji.
EF029,emoji_flip,Gym join kar liya finally 💪,Gym join kar liya finally 😩,editor_01,"human-reviewed model draft; rewrite; 😮‍💨 can mean relief as well as tiredness, so it was not clean enough."
EF030,emoji_flip,Aaj traffic ka scene dekh liya 😌,Aaj traffic ka scene dekh liya 🤯,editor_01,human-reviewed model draft; rewrite; The old “bilkul nahi tha” wording made the negative version feel forced.
PF015,context_flip,Plan toh mast tha.,"Plan toh mast tha, bas 3 ghante late start hua.",editor_01,human-reviewed model draft; rewrite; Natural sarcastic contrast; the added context clearly undercuts the praise.
PF016,context_flip,Khana toh kamaal ka tha.,"Khana toh kamaal ka tha, bas poora jala hua tha.",editor_01,human-reviewed model draft; rewrite; The second line now clearly contradicts the praise.
PF017,context_flip,Badi helpful team hai.,"Badi helpful team hai, bas zarurat ke time gayab ho jaati hai.",editor_01,human-reviewed model draft; rewrite; The extra context directly undercuts “helpful”.
PF018,context_flip,Timing toh perfect thi.,"Timing toh perfect thi, meeting khatam hone ke baad aaye.",editor_01,human-reviewed model draft; rewrite; “Exam ke ek din pehle” depended too much on context.
PF019,context_flip,Flight toh kaafi smooth thi.,"Flight toh kaafi smooth thi, aadha safar turbulence mein nikla.",editor_01,"human-reviewed model draft; rewrite; A delay does not make a flight itself less smooth, so I changed the contradiction."
PF020,context_flip,Service badi sahi thi.,"Service badi sahi thi, bas teen baar call karna pada.",editor_01,human-reviewed model draft; rewrite; Reads naturally and the second line clearly weakens the praise.
PF021,context_flip,Gift toh kaafi acha tha.,"Gift toh kaafi acha tha, bas kholte hi broken nikla.",editor_01,human-reviewed model draft; rewrite; A size mismatch was not necessarily a negative sentiment flip.
PF022,context_flip,Advice toh badi acchi thi.,"Advice toh badi acchi thi, bas bilkul kaam nahi aayi.",editor_01,human-reviewed model draft; rewrite; The original ending did not actually say the advice was bad or useless.
PF023,context_flip,Kaafi professional tareeke se handle kiya.,"Kaafi professional tareeke se handle kiya, bina bataye case hi close kar diya.",editor_01,human-reviewed model draft; rewrite; Two weeks can still be professional; this version makes the contradiction obvious.
PF024,context_flip,Support ka reply kaafi acha tha.,"Support ka reply kaafi acha tha, bas 10 din baad aaya.",editor_01,human-reviewed model draft; rewrite; More natural phrasing; the delayed reply undercuts the praise.
PF025,context_flip,Estimate toh kaafi accurate tha.,"Estimate toh kaafi accurate tha, final cost double nikli.",editor_01,human-reviewed model draft; rewrite; This makes the contradiction with “accurate” explicit.
PF026,context_flip,Bada caring roommate hai.,"Bada caring roommate hai, bukhar mein bhi mera khana kha gaya.",editor_01,human-reviewed model draft; rewrite; The cleaning example was only loosely related to being caring.
PF027,context_flip,Bada punctual hai woh.,"Bada punctual hai woh, roz ek ghanta late aata hai.",editor_01,human-reviewed model draft; rewrite; Natural sarcasm with a direct contradiction.
PF028,context_flip,Guide toh kaafi badhiya tha.,"Guide toh kaafi badhiya tha, khud hi raasta bhool gaya.",editor_01,human-reviewed model draft; rewrite; Natural sarcastic contrast.
PF029,context_flip,Decision toh bahut accha tha.,"Decision toh bahut accha tha, agle din hi reverse karna pada.",editor_01,human-reviewed model draft; rewrite; The old ending was unclear; this one clearly undercuts the praise.
PF030,context_flip,Event toh kaafi organized tha.,"Event toh kaafi organized tha, last minute tak venue hi fix nahi tha.",editor_01,human-reviewed model draft; rewrite; The old ending sounded awkward; this reads like a normal sarcastic comment.
